Date,Country,Status,AQI Value
13-07-2023,Burkina Faso,Unhealthy for Sensitive Groups,121
13-07-2023,Cambodia,Good,2
13-07-2023,Canada,Unhealthy,156
13-07-2023,Cape Verde,Good,47
13-07-2023,Cayman Islands,Moderate,61
13-07-2023,Chile,Unhealthy,198
13-07-2023,China,Unhealthy for Sensitive Groups,134
13-07-2023,Colombia,Moderate,64
13-07-2023,Costa Rica,Good,9
13-07-2023,Croatia,Good,40
13-07-2023,Cyprus,Good,50
13-07-2023,Czech Republic,Moderate,60
13-07-2023,Denmark,Good,24
13-07-2023,Dominican Republic,Good,26
13-07-2023,Ecuador,Good,39
13-07-2023,Egypt,Good,29
13-07-2023,El Salvador,Moderate,91
13-07-2023,Estonia,Good,23
13-07-2023,Ethiopia,Unhealthy for Sensitive Groups,131
13-07-2023,Finland,Good,40
13-07-2023,France,Moderate,61
13-07-2023,French Guiana,Good,9
13-07-2023,Gabon,Unhealthy for Sensitive Groups,109
13-07-2023,Georgia,Good,37
13-07-2023,Germany,Good,39
13-07-2023,Ghana,Unhealthy for Sensitive Groups,147
13-07-2023,Gibraltar,Good,38
13-07-2023,Greece,Moderate,67
13-07-2023,Grenada,Good,28
13-07-2023,Guadeloupe,Good,28
13-07-2023,Guam,Good,3
13-07-2023,Guatemala,Good,31
13-07-2023,Honduras,Good,9
13-07-2023,Hong Kong,Good,46
13-07-2023,Iceland,Good,9
13-07-2023,India,Unhealthy,163
13-07-2023,Indonesia,Moderate,94
13-07-2023,Iran,Unhealthy,151
13-07-2023,Ireland,Good,19
13-07-2023,Israel,Moderate,66
13-07-2023,Italy,Moderate,68
13-07-2023,Ivory Coast,Good,50
13-07-2023,Japan,Moderate,76
13-07-2023,Jersey,Good,20
13-07-2023,Jordan,Good,36
13-07-2023,Kazakhstan,Very Unhealthy,219
13-07-2023,Kenya,Unhealthy for Sensitive Groups,102
13-07-2023,Kosovo,Good,40
13-07-2023,Kuwait,Unhealthy for Sensitive Groups,106
13-07-2023,Kyrgyzstan,Good,47
13-07-2023,Laos,Good,34
13-07-2023,Latvia,Good,16
13-07-2023,Lebanon,Moderate,90
13-07-2023,Liberia,Moderate,52
13-07-2023,Liechtenstein,Good,9
13-07-2023,Lithuania,Good,48
13-07-2023,Luxembourg,Good,33
13-07-2023,Macao,Good,46
13-07-2023,Macedonia,Moderate,55
13-07-2023,Madagascar,Good,42
13-07-2023,Malaysia,Moderate,55
13-07-2023,Malta,Moderate,58
13-07-2023,Martinique,Good,50
13-07-2023,Mexico,Moderate,80
13-07-2023,Moldova,Good,17
13-07-2023,Monaco,Moderate,64
13-07-2023,Mongolia,Moderate,62
13-07-2023,Montenegro,Good,48
13-07-2023,Myanmar,Good,42
13-07-2023,Nepal,Moderate,59
13-07-2023,Netherlands,Good,35
13-07-2023,New Caledonia,Good,25
13-07-2023,New Zealand,Good,48
13-07-2023,Nigeria,Unhealthy for Sensitive Groups,109
13-07-2023,Norway,Good,25
13-07-2023,Pakistan,Moderate,73
13-07-2023,Palestinian Territory,Good,39
13-07-2023,Peru,Good,48
13-07-2023,Philippines,Good,50
13-07-2023,Poland,Moderate,67
13-07-2023,Portugal,Good,24
13-07-2023,Puerto Rico,Good,13
13-07-2023,Qatar,Moderate,62
13-07-2023,Reunion,Good,23
13-07-2023,Romania,Moderate,83
13-07-2023,Russia,Moderate,68
13-07-2023,San Marino,Moderate,59
13-07-2023,Saudi Arabia,Good,46
13-07-2023,Senegal,Good,38
13-07-2023,Serbia,Moderate,65
13-07-2023,Singapore,Good,37
13-07-2023,Slovakia,Moderate,53
13-07-2023,Slovenia,Good,28
13-07-2023,South Africa,Unhealthy for Sensitive Groups,146
13-07-2023,South Korea,Moderate,70
13-07-2023,Spain,Moderate,83
13-07-2023,Sri Lanka,Good,42
13-07-2023,Sweden,Good,25
13-07-2023,Switzerland,Good,14
13-07-2023,Taiwan,Moderate,72
13-07-2023,Tajikistan,Moderate,100
13-07-2023,Thailand,Moderate,72
13-07-2023,Togo,Unhealthy for Sensitive Groups,129
13-07-2023,Trinidad and Tobago,Good,37
13-07-2023,Turkey,Unhealthy for Sensitive Groups,125
13-07-2023,Uganda,Unhealthy for Sensitive Groups,129
13-07-2023,Ukraine,Moderate,69
13-07-2023,United Arab Emirates,Moderate,89
13-07-2023,United Kingdom of Great Britain and Northern Ireland,Good,36
13-07-2023,United States of America,Moderate,86
13-07-2023,Uzbekistan,Moderate,92
13-07-2023,Vatican,Moderate,59
13-07-2023,Venezuela,Good,9
13-07-2023,Vietnam,Moderate,69
13-07-2023,Zambia,Moderate,63
20-07-2023,Albania,Good,19
20-07-2023,Algeria,Moderate,82
20-07-2023,Andorra,Good,48
20-07-2023,Angola,Unhealthy for Sensitive Groups,145
20-07-2023,Argentina,Good,41
20-07-2023,Armenia,Good,34
20-07-2023,Australia,Good,38
20-07-2023,Austria,Good,30
20-07-2023,Azerbaijan,Good,31
20-07-2023,Bangladesh,Unhealthy for Sensitive Groups,102
20-07-2023,Belarus,Good,30
20-07-2023,Belgium,Good,48
20-07-2023,Belize,Good,15
20-07-2023,Bermuda,Good,16
20-07-2023,Bolivia,Moderate,60
20-07-2023,Bosnia and Herzegovina,Moderate,59
20-07-2023,Brazil,Good,48
20-07-2023,Brunei,Good,13
20-07-2023,Bulgaria,Good,31
20-07-2023,Burkina Faso,Unhealthy for Sensitive Groups,123
20-07-2023,Cambodia,Good,13
20-07-2023,Canada,Unhealthy for Sensitive Groups,125
20-07-2023,Cape Verde,Moderate,57
20-07-2023,Cayman Islands,Good,14
20-07-2023,Chile,Unhealthy,196
20-07-2023,China,Unhealthy,158
20-07-2023,Colombia,Moderate,59
20-07-2023,Costa Rica,Good,11
